       276 MEMB     3        POPC     H15B     HL       0.250000       1.00800           0
       277 MEMB     3        POPC     H15C     HL       0.250000       1.00800           0
       278 MEMB     3        POPC     C11      CTL2    -0.800000E-01   12.0110           0
       279 MEMB     3        POPC     H11A     HAL2     0.900000E-01   1.00800           0
       280 MEMB     3        POPC     H11B     HAL2     0.900000E-01   1.00800           0
       281 MEMB     3        POPC     P        PL       1.50000        30.9740           0
       282 MEMB     3        POPC     O13      O2L     -0.780000       15.9994           0
       283 MEMB     3        POPC     O14      O2L     -0.780000       15.9994           0
       284 MEMB     3        POPC     O12      OSLP    -0.570000       15.9994           0
       285 MEMB     3        POPC     O11      OSLP    -0.570000       15.9994           0
       286 MEMB     3        POPC     C1       CTL2    -0.800000E-01   12.0110           0
       287 MEMB     3        POPC     HA       HAL2     0.900000E-01   1.00800           0
       288 MEMB     3        POPC     HB       HAL2     0.900000E-01   1.00800           0
       289 MEMB     3        POPC     C2       CTL1     0.170000       12.0110           0
       290 MEMB     3        POPC     HS       HAL1     0.900000E-01   1.00800           0
       291 MEMB     3        POPC     O21      OSL     -0.490000       15.9994           0
       292 MEMB     3        POPC     C21      CL       0.900000       12.0110           0
       293 MEMB     3        POPC     O22      OBL     -0.630000       15.9994           0
       294 MEMB     3        POPC     C22      CTL2    -0.220000       12.0110           0
       295 MEMB     3        POPC     H2R      HAL2     0.900000E-01   1.00800           0
       296 MEMB     3        POPC     H2S      HAL2     0.900000E-01   1.00800           0
       297 MEMB     3        POPC     C3       CTL2     0.800000E-01   12.0110           0
       298 MEMB     3        POPC     HX       HAL2     0.900000E-01   1.00800           0
       299 MEMB     3        POPC     HY       HAL2     0.900000E-01   1.00800           0
       300 MEMB     3        POPC     O31      OSL     -0.490000       15.9994           0
       301 MEMB     3        POPC     C31      CL       0.900000       12.0110           0
       302 MEMB     3        POPC     O32      OBL     -0.630000       15.9994           0
       303 MEMB     3        POPC     C32      CTL2    -0.220000       12.0110           0
       304 MEMB     3        POPC     H2X      HAL2     0.900000E-01   1.00800           0
       305 MEMB     3        POPC     H2Y      HAL2     0.900000E-01   1.00800           0
       306 MEMB     3        POPC     C23      CTL2    -0.180000       12.0110           0
